"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @MopeadEU: Great news ! @billgates commits $50m for  #dementia #research 
#clinicaltrials #diagnosis #BigData  
 https://t.co/jJXutX1VOQ…",FALSE,0,NA,2017-11-13 17:32:47,FALSE,NA,"930126308318826496",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sanz_guille",1,TRUE,FALSE,NA,NA
"2","Great news ! @billgates commits $50m for  #dementia #research 
#clinicaltrials #diagnosis #BigData… https://t.co/LpZeOj0xk3",FALSE,5,NA,2017-11-13 17:15:15,TRUE,NA,"930121894430498816",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MopeadEU",1,FALSE,FALSE,NA,NA
"3","Thanks @billgates for investing $50m in #dementia #research 
#clinicaltrials #diagnosis #BigData… https://t.co/HvOm939BWB",FALSE,0,NA,2017-11-13 17:06:17,TRUE,NA,"930119638574301184",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Annette_Dumas",0,FALSE,FALSE,NA,NA
"4","RT @jisantangelo: Kudos @GeisingerHealth using #bigdata not just talking about it. Making an impact in #healthcare and people's lives.https…",FALSE,0,NA,2017-11-13 08:48:16,FALSE,NA,"929994307427360768",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RelevantTrack",8,TRUE,FALSE,NA,NA
"5","RT @Dark_Daily: #bigdata Projects at @GeisingerHealth Are Beginning to Help Physicians Speed Up Diagnosis and Improve Patient Care https://…",FALSE,0,NA,2017-11-08 10:24:58,FALSE,NA,"928206706118725632",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","EpicRelevance",3,TRUE,FALSE,NA,NA
"6","RT @jisantangelo: Kudos @GeisingerHealth using #bigdata not just talking about it. Making an impact in #healthcare and people's lives.https…",FALSE,0,NA,2017-11-06 08:20:35,FALSE,NA,"927450628590272513",NA,"<a href=""https://twitter.com/SmartMedRT"" rel=""nofollow"">SmartMedRT</a>","SmartMedRT",8,TRUE,FALSE,NA,NA
"7","RT @jisantangelo: Kudos @GeisingerHealth using #bigdata not just talking about it. Making an impact in #healthcare and people's lives.https…",FALSE,0,NA,2017-11-06 08:19:01,FALSE,NA,"927450235076595712",NA,"<a href=""https://utar.co/"" rel=""nofollow"">utarbot3</a>","UtarSystems",8,TRUE,FALSE,NA,NA
"8","RT @jisantangelo: Kudos @GeisingerHealth using #bigdata not just talking about it. Making an impact in #healthcare and people's lives.https…",FALSE,0,NA,2017-11-06 08:18:14,FALSE,NA,"927450034446196736",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","EpicRelevance",8,TRUE,FALSE,NA,NA
"10","RT @DigiCatapult: Screening, epidemiology &amp; big data can change #health outcomes. Could your EHRs &amp; #OpenInnovation help diagnosis? https:/…",FALSE,0,NA,2017-11-12 19:04:51,FALSE,NA,"929787087854895106",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mo_mist",4,TRUE,FALSE,NA,NA
"11","4 Reasons why Advancing Big Data Helps The ... https://t.co/G81MIFHjnu #Big-Data #CT-Scan #Cutaneous-Condition… https://t.co/qZ1BMbJjvL",FALSE,2,NA,2017-11-12 16:43:18,TRUE,NA,"929751465941504000",NA,"<a href=""http://www.7wdata.be"" rel=""nofollow"">7wData via @YvesMulkers</a>","YvesMulkers",0,FALSE,FALSE,NA,NA
"12","RT @DigiCatapult: Screening, epidemiology &amp; big data can change #health outcomes. Could your EHRs &amp; #OpenInnovation help diagnosis? https:/…",FALSE,0,NA,2017-11-10 18:52:53,FALSE,NA,"929059303159410689",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ianachurch",4,TRUE,FALSE,NA,NA
"13","RT @DigiCatapult: Screening, epidemiology &amp; big data can change #health outcomes. Could your EHRs &amp; #OpenInnovation help diagnosis? https:/…",FALSE,0,NA,2017-11-10 16:27:22,FALSE,NA,"929022683014103040",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","annawoodtechpr",4,TRUE,FALSE,NA,NA
"14","Screening, epidemiology &amp; big data can change #health outcomes. Could your EHRs &amp; #OpenInnovation help diagnosis? https://t.co/0Pj1zSGAyy",FALSE,4,NA,2017-11-10 16:15:05,FALSE,NA,"929019592160276482",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","DigiCatapult",4,FALSE,FALSE,NA,NA
